category	gate	logical_path	responsibility	algorithm_or_concept	category_recipe	acceptance
AITransport	V1	AI/Transport/ConnectivityMonitor.swift	Distinguish offline/transient/provider-specific outage	NWPathMonitor as hint, not oracle; avoid polling storm	Use URLSession with safe HTTPS destination, cancellation, bounded bytes and timeouts; parse incremental bytes rather than chunk-as-line; preserve provider-specific sentinels in adapter.	Split-frame/UTF-8/CRLF tests, redirect policy, offline, timeout, partial text.
AITransport	V1	AI/Transport/RetryPolicy.swift	Backoff for safe model requests only	Retry-After + exponential jitter + max attempts; idempotency rule	Use URLSession with safe HTTPS destination, cancellation, bounded bytes and timeouts; parse incremental bytes rather than chunk-as-line; preserve provider-specific sentinels in adapter.	Split-frame/UTF-8/CRLF tests, redirect policy, offline, timeout, partial text.
AITransport	V1	AI/Transport/ModelCatalogClient.swift	Retrieve provider-advertised models with safe pagination	Validate JSON schema/size, TTL/ETag, preserve local fallback catalog	Use URLSession with safe HTTPS destination, cancellation, bounded bytes and timeouts; parse incremental bytes rather than chunk-as-line; preserve provider-specific sentinels in adapter.	Split-frame/UTF-8/CRLF tests, redirect policy, offline, timeout, partial text.
ContextMemory	V1	AI/Context/ContextBuilder.swift	Assemble just-enough owner-scoped conversation context	Trust-ordered sections, citation metadata and reserve output budget	A05 bounded trusted context sections and source tags; no raw unrelated owner data.	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/TokenBudget.swift	Enforce prompt/window/response reserve	Exact token count when API provided, conservative estimate otherwise	Select permitted owner-scoped source-tagged facts within conservative token budget; distinguish verified vs inferred; expire and reconcile contradictory facts; treat fetched text as untrusted.	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/HistoryRetriever.swift	Fetch last turns and related local history for active user	Recent-window plus bounded ranked retrieval with owner filtering	Select permitted owner-scoped source-tagged facts within conservative token budget; distinguish verified vs inferred; expire and reconcile contradictory facts; treat fetched text as untrusted.	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/MemoryRetriever.swift	Fetch verified/relevant memories by privacy+recency	Relevance + confidence tie-break, deterministic dedup; no unsupported claims	Select permitted owner-scoped source-tagged facts within conservative token budget; distinguish verified vs inferred; expire and reconcile contradictory facts; treat fetched text as untrusted.	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/MemoryProposalEngine.swift	Generate candidate memories from explicit/selected user content	Source-tagged proposals, default unverified and user review gating	Default inferred memories proposed/unverified, present approval before active use.	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/MemoryConflictResolver.swift	Compare old/new facts and prevent silent overwrite	Verified-first, version/date comparison; unresolved conflict record	Select permitted owner-scoped source-tagged facts within conservative token budget; distinguish verified vs inferred; expire and reconcile contradictory facts; treat fetched text as untrusted.	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/ConversationSummarizer.swift	Compress older turns while retaining sources	Rolling summary with source IDs and summary revisions; bounded regeneration	Select permitted owner-scoped source-tagged facts within conservative token budget; distinguish verified vs inferred; expire and reconcile contradictory facts; treat fetched text as untrusted.	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/ContextProvenance.swift	Mark user, system, tool, document and web source authority	Trust ordering is enforced by code, not prompt wording alone	Select permitted owner-scoped source-tagged facts within conservative token budget; distinguish verified vs inferred; expire and reconcile contradictory facts; treat fetched text as untrusted.	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/MemoryRetentionWorker.swift	Expire/delete memory and trigger index cleanup	TTL scans on foreground maintenance, tombstone not silent resurrection	Select permitted owner-scoped source-tagged facts within conservative token budget; distinguish verified vs inferred; expire and reconcile contradictory facts; treat fetched text as untrusted.	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
Voice	V1	Voice/VoiceCoordinator.swift	Own microphone/transcribe/generate/speak conversational session	Explicit state machine and cancellation child tasks; no always-on capture	Explicitly request microphone; select supported locale/transcriber with legacy fallback; sequence transcripts by session and cancel on interruption; avoid ambient recording.	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/MicrophoneCapture.swift	AVAudioEngine frames and audio session setup	Bounded ring buffer, interruptions and permission-sensitive shutdown	Explicitly request microphone; select supported locale/transcriber with legacy fallback; sequence transcripts by session and cancel on interruption; avoid ambient recording.	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/SpeechRecognizerProtocol.swift	Common transcript/session/locale interface	Normalized interim/final sequence and device capability negotiation	Explicitly request microphone; select supported locale/transcriber with legacy fallback; sequence transcripts by session and cancel on interruption; avoid ambient recording.	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/LegacySpeechRecognizer.swift	Fallback SFSpeechRecognizer for older supported OSes	Request authorization; locale availability; cancel-on-stop	Explicitly request microphone; select supported locale/transcriber with legacy fallback; sequence transcripts by session and cancel on interruption; avoid ambient recording.	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	COND	Voice/ModernSpeechTranscriber.swift	Newer Apple SpeechTranscriber where available	Installed/supported locale probe; asset installation if supported and approved	Conditional only and use installed SDK spelling confirmed in W00; selected locale asset and support gate.	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/AppleSpeechSynthesizer.swift	Voice list, playback, stop and rate controls	AVSpeechSynthesizer delegate-to-async state and interruption cleanup	Explicitly request microphone; select supported locale/transcriber with legacy fallback; sequence transcripts by session and cancel on interruption; avoid ambient recording.	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/VoiceLocalePolicy.swift	Choose Hindi/English locale or declare Hinglish fallback	Exact supported locale probe; ask before cloud STT disclosure	Explicitly request microphone; select supported locale/transcriber with legacy fallback; sequence transcripts by session and cancel on interruption; avoid ambient recording.	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/AudioInterruptionHandler.swift	React to route changes, phone calls and app lifecycle	Pause/resume only with user intent; release AVAudioSession correctly	Explicitly request microphone; select supported locale/transcriber with legacy fallback; sequence transcripts by session and cancel on interruption; avoid ambient recording.	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Avatar	V1	Avatar/AvatarState.swift	Canonical idle/listening/thinking/speaking/working/error model	Exhaustive finite-state transition mapping	Map active assistant IDs to replaceable assets, independently chosen voices and finite activity states; MainActor updates honor Reduce Motion.	Switch/rename both avatars persists; no state animation claims an action before service reports it.
Avatar	V1	Avatar/AvatarStateController.swift	Map orchestrator/voice/task events to visible animation state	MainActor state projection; stale-event sequence suppression	Map active assistant IDs to replaceable assets, independently chosen voices and finite activity states; MainActor updates honor Reduce Motion.	Switch/rename both avatars persists; no state animation claims an action before service reports it.
Avatar	V1	Avatar/AvatarView.swift	Display male/female image/animation and accessible alternative	Lightweight SwiftUI animation honoring Reduce Motion	Map active assistant IDs to replaceable assets, independently chosen voices and finite activity states; MainActor updates honor Reduce Motion.	Switch/rename both avatars persists; no state animation claims an action before service reports it.
Avatar	V1	Avatar/AvatarAssetCatalog.swift	Resolve installed built-in and user-selected avatar assets	Stable asset ID fallback; don't couple avatar gender with voice gender	Map active assistant IDs to replaceable assets, independently chosen voices and finite activity states; MainActor updates honor Reduce Motion.	Switch/rename both avatars persists; no state animation claims an action before service reports it.
Avatar	V1	Avatar/AvatarPickerView.swift	Preview, switch and assign avatar independently of assistant name	Persist selection atomically to active owner's assistant profile	Map active assistant IDs to replaceable assets, independently chosen voices and finite activity states; MainActor updates honor Reduce Motion.	Switch/rename both avatars persists; no state animation claims an action before service reports it.
TaskEngine	V1	Tasks/TaskStateMachine.swift	Single canonical set of transitions for tasks and runs	Validate queued→running→waiting/completed/failed/cancelled; reject impossible moves	Enforce TaskDefinition/TaskRun boundary, calendar recurrence, atomic state transition and idempotency receipt; use notification-only background semantics.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskScheduler.swift	Resolve one-shot and recurring next occurrences	Calendar+timezone components and unique occurrence key; DST tests	Calendar recurrence with IANA timezone, DST/nonexistent/ambiguous time policies in A07.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskEngineActor.swift	Create runs, queue, resume, cancel and finalize	Actor serialization, run budget and interruption recovery	Enforce TaskDefinition/TaskRun boundary, calendar recurrence, atomic state transition and idempotency receipt; use notification-only background semantics.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskPlanner.swift	Convert approved user intent into typed bounded task plan	Dependency DAG validation, cycle detection and step budget	Enforce TaskDefinition/TaskRun boundary, calendar recurrence, atomic state transition and idempotency receipt; use notification-only background semantics.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskRunExecutor.swift	Execute authorized task steps and report progress	Topological ready-step selection; checkpoint before side effects	Enforce TaskDefinition/TaskRun boundary, calendar recurrence, atomic state transition and idempotency receipt; use notification-only background semantics.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskRecovery.swift	Reconcile persisted interrupted work at cold start	Check receipts and idempotency; ambiguous writes require review	After crash, never blindly repeat AMBIGUOUS writes; move to review.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/LocalReminderScheduler.swift	Map reminder definitions to UserNotifications requests	Persist notification ID; reconcile add/update/cancel; authorization state	Use UserNotifications calendar schedule, not AI runtime task in background; persist/reconcile request ID.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/ForegroundExecutor.swift	Run in-app AI jobs without background promises	Bounded child tasks, cancellation and progress event stream	Enforce TaskDefinition/TaskRun boundary, calendar recurrence, atomic state transition and idempotency receipt; use notification-only background semantics.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskProgress.swift	Compute meaningful percentage/status for UI	Completed weighted steps / planned work, unknown if work size unknowable	Enforce TaskDefinition/TaskRun boundary, calendar recurrence, atomic state transition and idempotency receipt; use notification-only background semantics.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskRecurrence.swift	Parse/edit daily/weekly/monthly and custom calendar recurrences	Wall-clock semantics, timezone changes and missed-run policy	Enforce TaskDefinition/TaskRun boundary, calendar recurrence, atomic state transition and idempotency receipt; use notification-only background semantics.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskIdempotency.swift	Reserve occurrence/tool keys and dedupe retries	Persistent unique operation key and compare-and-set status	Enforce TaskDefinition/TaskRun boundary, calendar recurrence, atomic state transition and idempotency receipt; use notification-only background semantics.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	NEXT	Tasks/RemoteTaskScheduler.swift	Future backend execution for guaranteed schedules	Authenticated enqueue/receipt/poll/webhook contract, no local fake guarantee	Enforce TaskDefinition/TaskRun boundary, calendar recurrence, atomic state transition and idempotency receipt; use notification-only background semantics.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	COND	Tasks/ContinuedBackgroundExecutor.swift	Optional user-initiated BGContinuedProcessingTask support	Platform availability check; Progress updates and early termination handling	Only after SDK and target entitlement support verified; foreground-initiated task, progress and termination recovery.	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
Tools	V1	Tools/ToolRegistry.swift	Catalog approved typed tools and their capability requirements	Immutable name/version dispatch, deny unknown/disabled tools	Parse strict tool arguments, use ToolPolicyEngine and exact approval digest, reserve receipt before side effect; return structured result and never retry ambiguous external mutations.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/ToolInvocationCoordinator.swift	Authorize, reserve, execute and record tool calls	Prepare→policy→approval→execute→receipt durable workflow	Exact hash approval, session recheck and PREPARED receipt precede platform side effect.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/ToolReceiptStore.swift	Prevent duplicate side effects when a network call times out	PREPARED/CONFIRMED/AMBIGUOUS persisted idempotency state	Unique operation key, PREPARED/SUCCEEDED/FAILED/AMBIGUOUS; transaction before external execution.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/CreateTaskTool.swift	AI-created local task after proper authorization	Schema decode, user review if schedule/side effects ambiguous	Parse strict tool arguments, use ToolPolicyEngine and exact approval digest, reserve receipt before side effect; return structured result and never retry ambiguous external mutations.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/CreateReminderTool.swift	Create/schedule local reminder notifications	Resolve natural-language date, validate timezone and confirm	Parse strict tool arguments, use ToolPolicyEngine and exact approval digest, reserve receipt before side effect; return structured result and never retry ambiguous external mutations.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/SearchHistoryTool.swift	Provide narrowly scoped history search to model	Owner-bound safe result excerpts and sensitivity-filtered citations	Parse strict tool arguments, use ToolPolicyEngine and exact approval digest, reserve receipt before side effect; return structured result and never retry ambiguous external mutations.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/SaveNoteTool.swift	Persist a user-requested note/memory draft	Write policy and provenance, explicit save vs learned inference	Parse strict tool arguments, use ToolPolicyEngine and exact approval digest, reserve receipt before side effect; return structured result and never retry ambiguous external mutations.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/OpenURLTool.swift	Open approved safe external links via platform UI	URL scheme/host validation; no invisible cross-app automation	Parse strict tool arguments, use ToolPolicyEngine and exact approval digest, reserve receipt before side effect; return structured result and never retry ambiguous external mutations.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/ReadAttachmentTool.swift	Extract permitted snippets from user-selected attachment	MIME/size/owner/sensitivity guards and controlled text exposure	Parse strict tool arguments, use ToolPolicyEngine and exact approval digest, reserve receipt before side effect; return structured result and never retry ambiguous external mutations.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/CalendarTool.swift	Optional read/create EventKit operations after capability check	Least-privilege permission, event ID receipts and explicit create confirmation	Parse strict tool arguments, use ToolPolicyEngine and exact approval digest, reserve receipt before side effect; return structured result and never retry ambiguous external mutations.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/ContactsLookupTool.swift	Optional narrow user-authorized contact search	No contact bulk export; minimum fields and destination preview	Parse strict tool arguments, use ToolPolicyEngine and exact approval digest, reserve receipt before side effect; return structured result and never retry ambiguous external mutations.	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/ToolRiskClassifier.swift	Map tool+arguments to read/write/external-send/destructive risk	Destination-aware content scope and consent decision matrix	Parse strict tool arguments, use ToolPolicyEngine and exact approval digest, reserve receipt before side effect; return structured result and never retry ambiguous external mutations.	Prompt injection, approval edit, replay and permission-denied tests.
Media	V1	Media/AttachmentPicker.swift	SwiftUI Files and Photos selection with proper scoped URL lifecycle	fileImporter/PhotosPicker; bookmark or copy to app-private storage	Validate real bytes/MIME/size, scoped secure file copy, SHA256 owner-local dedup, bounded document extraction/vision and consent before upload.	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/AttachmentValidator.swift	Reject unsupported types, oversized and malicious payloads	UTType+magic/size/hash validation; filename canonicalization	Validate real bytes/MIME/size, scoped secure file copy, SHA256 owner-local dedup, bounded document extraction/vision and consent before upload.	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/AttachmentProcessor.swift	Create canonical typed input for supported model modality	Bounded text extraction, fallback unsupported-file notice	Validate real bytes/MIME/size, scoped secure file copy, SHA256 owner-local dedup, bounded document extraction/vision and consent before upload.	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/ImageOptimizer.swift	Resize/strip unneeded metadata and make thumbnails	Pixel-count and byte budgets with aspect-preserving scale	Validate real bytes/MIME/size, scoped secure file copy, SHA256 owner-local dedup, bounded document extraction/vision and consent before upload.	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/DocumentTextExtractor.swift	Use supported local text/PDF extraction, no silent raw upload	Page caps, Unicode normalization and page/source provenance	Validate real bytes/MIME/size, scoped secure file copy, SHA256 owner-local dedup, bounded document extraction/vision and consent before upload.	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/VisionTextRecognizer.swift	On-device Vision OCR for selected images	Bounding box/text confidence; user review for low-confidence OCR	Validate real bytes/MIME/size, scoped secure file copy, SHA256 owner-local dedup, bounded document extraction/vision and consent before upload.	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/AttachmentLifecycle.swift	Delete temp files and revoke sandbox security scopes	TTL, reference counts, temp-file cleanup on crash recovery	Validate real bytes/MIME/size, scoped secure file copy, SHA256 owner-local dedup, bounded document extraction/vision and consent before upload.	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Search	V1	Search/HistorySearchCoordinator.swift	Unified conversations/tasks/actions/memory search	Owner-scope first; optional derived Spotlight rank blend	Filter owner and deletion before lexical ranking; deterministic score and pagination; optional opt-in Spotlight projection with revalidation at result open.	Owner leakage impossible, stale index treated as miss, delete purge and deterministic scores.
Search	V1	Search/LocalTextIndex.swift	Portable deterministic local keyword search fallback	Case/diacritic folding, bounded token matching, stable pagination	Filter owner and deletion before lexical ranking; deterministic score and pagination; optional opt-in Spotlight projection with revalidation at result open.	Owner leakage impossible, stale index treated as miss, delete purge and deterministic scores.
Search	COND	Search/SpotlightProjection.swift	Private optional Core Spotlight entries for allowed snippets	Opt-in indexed-only fields, differential upsert and account purge	Explicit user opt-in; index only allowed non-sensitive content; purge on logout and delete.	Owner leakage impossible, stale index treated as miss, delete purge and deterministic scores.
Search	V1	Search/SearchRanking.swift	Rank exact phrase, field match, recency and optional semantic hits	Transparent deterministic tie-breaks and per-type pagination	Filter owner and deletion before lexical ranking; deterministic score and pagination; optional opt-in Spotlight projection with revalidation at result open.	Owner leakage impossible, stale index treated as miss, delete purge and deterministic scores.
Search	V1	Search/IndexMaintenance.swift	Keep derived indexes consistent with canonical SwiftData	Outbox update, deletion tombstones, cold-start reconciliation	Filter owner and deletion before lexical ranking; deterministic score and pagination; optional opt-in Spotlight projection with revalidation at result open.	Owner leakage impossible, stale index treated as miss, delete purge and deterministic scores.
DashboardUI	V1	Features/Dashboard/DashboardView.swift	Primary avatar, composer, quick actions, today and status dashboard	Adaptive VStack/grid composition with accessibility reading order	Subscribe to verified assistant/session/tasks streams, show avatar/command, needs-attention and quick actions; bind all taps to typed commands.	Both assistant modes, offline status and genuine task counters on compact/regular device.
DashboardUI	V1	Features/Dashboard/DashboardViewModel.swift	Owner-scoped summary projections and primary actions	Combine async repo snapshots, no duplicate task or AI requests	Subscribe to verified assistant/session/tasks streams, show avatar/command, needs-attention and quick actions; bind all taps to typed commands.	Both assistant modes, offline status and genuine task counters on compact/regular device.
DashboardUI	V1	Features/Dashboard/TodayTaskCard.swift	Count and preview pending/completed user tasks	Calendar day boundaries in user timezone and accessible progress	Subscribe to verified assistant/session/tasks streams, show avatar/command, needs-attention and quick actions; bind all taps to typed commands.	Both assistant modes, offline status and genuine task counters on compact/regular device.
DashboardUI	V1	Features/Dashboard/QuickActionGrid.swift	Editable compact actions and route dispatch	Stable action IDs, owner-specific ordering and enabled-state checks	Subscribe to verified assistant/session/tasks streams, show avatar/command, needs-attention and quick actions; bind all taps to typed commands.	Both assistant modes, offline status and genuine task counters on compact/regular device.
DashboardUI	V1	Features/Dashboard/AttentionSummary.swift	High-priority actionable approvals/failures preview	Sort unresolved severity/age with explicit acknowledge flow	Subscribe to verified assistant/session/tasks streams, show avatar/command, needs-attention and quick actions; bind all taps to typed commands.	Both assistant modes, offline status and genuine task counters on compact/regular device.
DashboardUI	V1	Features/Dashboard/AssistantHeader.swift	Current assistant name, avatar and operating mode	Derive status from session not guessed provider readiness	Subscribe to verified assistant/session/tasks streams, show avatar/command, needs-attention and quick actions; bind all taps to typed commands.	Both assistant modes, offline status and genuine task counters on compact/regular device.
ChatUI	V1	Features/Chat/ChatView.swift	Conversation transcript and composer, streaming text and file actions	Virtualized LazyVStack, stable message IDs and scroll intent handling	Accessible stable-ID bubble list, text/attachments/voice/stop and actual streamed status; no raw HTML injection.	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/ChatViewModel.swift	Turn submission, streaming buffer, voice and cancel UI	MainActor reducer of normalized events; avoid UI update each byte	Use paginated owner-scoped message view state and stable IDs; stream partial deltas; send/stop/retry through orchestrator; attachment UI respects capability and privacy.	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/ChatComposer.swift	Text, voice, image, document and send controls	Disable sending empty or unsafe payload, attachment readiness state	Use paginated owner-scoped message view state and stable IDs; stream partial deltas; send/stop/retry through orchestrator; attachment UI respects capability and privacy.	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/MessageBubble.swift	Accessible distinct user/assistant/tool messages	Role-based rendering, timestamps and provenance/status marker	Use paginated owner-scoped message view state and stable IDs; stream partial deltas; send/stop/retry through orchestrator; attachment UI respects capability and privacy.	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/ConversationListView.swift	Create, search, pin, archive and resume conversations	Paginated owner-scoped query and last activity ordering	Use paginated owner-scoped message view state and stable IDs; stream partial deltas; send/stop/retry through orchestrator; attachment UI respects capability and privacy.	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/ChatAttachmentStrip.swift	File previews, privacy destination and remove-before-send	Bounded thumbnail rendering and metadata-only previews	Use paginated owner-scoped message view state and stable IDs; stream partial deltas; send/stop/retry through orchestrator; attachment UI respects capability and privacy.	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/ToolActionCard.swift	Review proposed tool actions and precise execution receipt	Typed fields, confirmation button and expired-action disable	Use paginated owner-scoped message view state and stable IDs; stream partial deltas; send/stop/retry through orchestrator; attachment UI respects capability and privacy.	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/StreamingStatusView.swift	Present text-stream, reasoning summary, rate limit and retry states	State-driven visibility; distinguish error/partial/finished	Use paginated owner-scoped message view state and stable IDs; stream partial deltas; send/stop/retry through orchestrator; attachment UI respects capability and privacy.	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
TasksUI	V1	Features/Tasks/TaskDashboardView.swift	Filter today/upcoming/running/completed/failed and approvals	Responsive list and detail split; segmented status projections	Expose distinct definition and occurrence data, schedule editor and execution history; show truthful foreground/background status; review before destructive edits.	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/TaskDashboardViewModel.swift	Task state aggregation and safe action handlers	Owner-scoped query, stable sorting, cancellation and dedupe	Expose distinct definition and occurrence data, schedule editor and execution history; show truthful foreground/background status; review before destructive edits.	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/TaskEditorView.swift	Create/edit title, action, priority, trigger, recurrence and consent	Form validation and next-fire preview before save	Expose distinct definition and occurrence data, schedule editor and execution history; show truthful foreground/background status; review before destructive edits.	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/TaskDetailView.swift	Task definition, each run timeline, logs and artifacts	Immutable audit event chronology and reversible available actions	Expose distinct definition and occurrence data, schedule editor and execution history; show truthful foreground/background status; review before destructive edits.	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/TaskRunCard.swift	Running/progress/paused/waiting result visualization	Never invent percentage for unknown-duration external tasks	Expose distinct definition and occurrence data, schedule editor and execution history; show truthful foreground/background status; review before destructive edits.	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/SchedulePicker.swift	Locale-aware date/time/timezone/recurrence UI	Calendar previews at DST boundaries and recurrence dedupe	Expose distinct definition and occurrence data, schedule editor and execution history; show truthful foreground/background status; review before destructive edits.	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/TaskApprovalStrip.swift	Show pending authorizations and ambiguous recovery cases	Policy-approved exact action digest and expiry label	Expose distinct definition and occurrence data, schedule editor and execution history; show truthful foreground/background status; review before destructive edits.	Recurring task creates separate runs and accurate next date; no fake progress.
HistoryUI	V1	Features/History/HistoryView.swift	Search/filter conversation, task-run, audit and attachment activity	Tabs/chips and one shared search coordinator	Owner-filter history query, separate chat/task/action categories, display provenance/time, require confirmation for permanent deletion.	Search excludes other users; audit text redacted, deleted content absent.
HistoryUI	V1	Features/History/HistoryViewModel.swift	Debounced query and stable result pagination	Task cancellation for stale queries and per-type filtering	Owner-filter history query, separate chat/task/action categories, display provenance/time, require confirmation for permanent deletion.	Search excludes other users; audit text redacted, deleted content absent.
HistoryUI	V1	Features/History/HistoryResultRow.swift	Source/date/type/trust snippets and open target	Highlight matched ranges and distinguish AI summaries	Owner-filter history query, separate chat/task/action categories, display provenance/time, require confirmation for permanent deletion.	Search excludes other users; audit text redacted, deleted content absent.
HistoryUI	V1	Features/History/ActionTimelineView.swift	User-readable safe audit chronology of AI/tool decisions	Join by traceID without exposing secrets or hidden reasoning	Owner-filter history query, separate chat/task/action categories, display provenance/time, require confirmation for permanent deletion.	Search excludes other users; audit text redacted, deleted content absent.
HistoryUI	V1	Features/History/HistoryFilterSheet.swift	Date, assistant, type, privacy and provider filters	Validate ranges, persist UI-only selections and reset control	Owner-filter history query, separate chat/task/action categories, display provenance/time, require confirmation for permanent deletion.	Search excludes other users; audit text redacted, deleted content absent.
ConfigUI	V1	Features/Configuration/ConfigurationView.swift	Hub for assistant, AI, provider, voice, memory, tools and privacy	Grouped navigation by behavior rather than app device controls	Bind providers, models, voices, routing and permissions to typed persisted settings; show capability/reason for unavailable options.	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/AIConfigurationView.swift	Fast/Balanced/Deep/Custom mode, preferences and budgets	Display effective route eligibility and enforce model limits	Bind providers, models, voices, routing and permissions to typed persisted settings; show capability/reason for unavailable options.	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/ProviderListView.swift	Connect/remove BYOK providers, test and display status	Credential reference only; test call requires explicit user action	Bind providers, models, voices, routing and permissions to typed persisted settings; show capability/reason for unavailable options.	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/ProviderDetailView.swift	Endpoint/model list/usage/secret rotation and diagnostics	Form HTTPS validation, Keychain write and health-state display	Bind providers, models, voices, routing and permissions to typed persisted settings; show capability/reason for unavailable options.	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/ModelPickerView.swift	Search installed/remote supported models with capability badges	Filter by hard request features and show stale catalog warning	Bind providers, models, voices, routing and permissions to typed persisted settings; show capability/reason for unavailable options.	Every enabled switch changes actual settings and survives restart; errors visible.
ConfigUI	V1	Features/Configuration/PrivacyRoutingView.swift	Private/Balanced/Cloud-permitted routing modes	Show exact data leaving device and explicit cloud consent	Bind providers, models, voices, routing and permissions to typed persisted settings; show capability/reason for unavailable options.	Every enabled switch changes actual settings and survives restart; errors visible.
