category	gate	logical_path	single_responsibility	implementation_contract	owned_inputs	owned_outputs	authoritative_algorithm	required_test	scope_instruction	specific_acceptance
AIProviders	COND	AI/Providers/AppleFoundationModelProvider.swift	Use on-device Apple models on eligible OS/hardware	#available guards, SystemLanguageModel availability/locale/context checks	AssistantEvent stream/validated catalog	wire differences isolated, safe fallback, no guessed capabilities	14 B01–B03	T005–T010/S002	Runtime capability and compile-gated	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	V1	AI/Providers/CustomEndpointProvider.swift	User-configured OpenAI-compatible model endpoint	TLS-only, explicit endpoint consent, limited redirect and model test	AssistantEvent stream/validated catalog	wire differences isolated, safe fallback, no guessed capabilities	14 B01–B03	T005–T010/S002	Required V1 deliverable	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	NEXT	AI/Providers/ManagedGatewayProvider.swift	Use future authenticated gateway instead of distributing app-owned secrets	Ephemeral user JWT + scoped server budgets and opaque provider key storage	AssistantEvent stream/validated catalog	wire differences isolated, safe fallback, no guessed capabilities	14 B01–B03	T005–T010/S002	Do not ship as active V1 code	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	NEXT	AI/Providers/SmallAIProvider.swift	Future Small AI runtime/HTTPS adapter	Capability negotiation and shared stream events; no pretend local LLM	AssistantEvent stream/validated catalog	wire differences isolated, safe fallback, no guessed capabilities	14 B01–B03	T005–T010/S002	Do not ship as active V1 code	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AITransport	V1	AI/Transport/HTTPClient.swift	Native URLSession request, timeout and auth boundary	Ephemeral headers, deadline/cancellation and sanitized error mapping	complete SSE/HTTP events or typed failure	strict UTF-8 CRLF newline and cancellation	14 B01/B02	T005/T006/S002	Required V1 deliverable	Split-frame/UTF-8/CRLF tests, redirect policy, offline, timeout, partial text.
AITransport	V1	AI/Transport/SSEDecoder.swift	Parse multiline data/event/id/retry frames and [DONE]	Incremental bounded UTF-8 line state machine; split-chunk fixtures	complete SSE/HTTP events or typed failure	strict UTF-8 CRLF newline and cancellation	14 B01	T005/T006/S002	Required V1 deliverable	Split-frame/UTF-8/CRLF tests, redirect policy, offline, timeout, partial text.
AITransport	V1	AI/Transport/ConnectivityMonitor.swift	Distinguish offline/transient/provider-specific outage	NWPathMonitor as hint, not oracle; avoid polling storm	complete SSE/HTTP events or typed failure	strict UTF-8 CRLF newline and cancellation	14 B01/B02	T005/T006/S002	Required V1 deliverable	Split-frame/UTF-8/CRLF tests, redirect policy, offline, timeout, partial text.
AITransport	V1	AI/Transport/RetryPolicy.swift	Backoff for safe model requests only	Retry-After + exponential jitter + max attempts; idempotency rule	complete SSE/HTTP events or typed failure	strict UTF-8 CRLF newline and cancellation	14 B01/B02	T005/T006/S002	Required V1 deliverable	Split-frame/UTF-8/CRLF tests, redirect policy, offline, timeout, partial text.
AITransport	V1	AI/Transport/ModelCatalogClient.swift	Retrieve provider-advertised models with safe pagination	Validate JSON schema/size, TTL/ETag, preserve local fallback catalog	complete SSE/HTTP events or typed failure	strict UTF-8 CRLF newline and cancellation	14 B01/B02	T005/T006/S002	Required V1 deliverable	Split-frame/UTF-8/CRLF tests, redirect policy, offline, timeout, partial text.
ContextMemory	V1	AI/Context/ContextBuilder.swift	Assemble just-enough owner-scoped conversation context	Trust-ordered sections, citation metadata and reserve output budget	trusted ordered bounded context and memory proposals	sensitivity filters, user confirmation, deletion invalidation	14 B04	T018/T024	Required V1 deliverable	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/TokenBudget.swift	Enforce prompt/window/response reserve	Exact token count when API provided, conservative estimate otherwise	trusted ordered bounded context and memory proposals	sensitivity filters, user confirmation, deletion invalidation	14 B04	T018/T024	Required V1 deliverable	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/HistoryRetriever.swift	Fetch last turns and related local history for active user	Recent-window plus bounded ranked retrieval with owner filtering	trusted ordered bounded context and memory proposals	sensitivity filters, user confirmation, deletion invalidation	14 B04	T018/T024	Required V1 deliverable	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/MemoryRetriever.swift	Fetch verified/relevant memories by privacy+recency	Relevance + confidence tie-break, deterministic dedup; no unsupported claims	trusted ordered bounded context and memory proposals	sensitivity filters, user confirmation, deletion invalidation	14 B04	T018/T024	Required V1 deliverable	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/MemoryProposalEngine.swift	Generate candidate memories from explicit/selected user content	Source-tagged proposals, default unverified and user review gating	trusted ordered bounded context and memory proposals	sensitivity filters, user confirmation, deletion invalidation	14 B04	T018/T024	Required V1 deliverable	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/MemoryConflictResolver.swift	Compare old/new facts and prevent silent overwrite	Verified-first, version/date comparison; unresolved conflict record	trusted ordered bounded context and memory proposals	sensitivity filters, user confirmation, deletion invalidation	14 B04	T018/T024	Required V1 deliverable	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/ConversationSummarizer.swift	Compress older turns while retaining sources	Rolling summary with source IDs and summary revisions; bounded regeneration	trusted ordered bounded context and memory proposals	sensitivity filters, user confirmation, deletion invalidation	14 B04	T018/T024	Required V1 deliverable	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/ContextProvenance.swift	Mark user, system, tool, document and web source authority	Trust ordering is enforced by code, not prompt wording alone	trusted ordered bounded context and memory proposals	sensitivity filters, user confirmation, deletion invalidation	14 B04	T018/T024	Required V1 deliverable	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
ContextMemory	V1	AI/Context/MemoryRetentionWorker.swift	Expire/delete memory and trigger index cleanup	TTL scans on foreground maintenance, tombstone not silent resurrection	trusted ordered bounded context and memory proposals	sensitivity filters, user confirmation, deletion invalidation	14 B04	T018/T024	Required V1 deliverable	Secrets excluded from external context, deterministic selection, correct source links and delete propagation.
Voice	V1	Voice/VoiceCoordinator.swift	Own microphone/transcribe/generate/speak conversational session	Explicit state machine and cancellation child tasks; no always-on capture	transcript and voice state	session UUID, callback dedup, locale/permission probes	14 B07	T022/T023/S016	Required V1 deliverable	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/MicrophoneCapture.swift	AVAudioEngine frames and audio session setup	Bounded ring buffer, interruptions and permission-sensitive shutdown	transcript and voice state	session UUID, callback dedup, locale/permission probes	14 B07	T022/T023/S016	Required V1 deliverable	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/SpeechRecognizerProtocol.swift	Common transcript/session/locale interface	Normalized interim/final sequence and device capability negotiation	transcript and voice state	session UUID, callback dedup, locale/permission probes	14 B07	T022/T023/S016	Required V1 deliverable	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/LegacySpeechRecognizer.swift	Fallback SFSpeechRecognizer for older supported OSes	Request authorization; locale availability; cancel-on-stop	transcript and voice state	session UUID, callback dedup, locale/permission probes	14 B07	T022/T023/S016	Required V1 deliverable	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	COND	Voice/ModernSpeechTranscriber.swift	Newer Apple SpeechTranscriber where available	Installed/supported locale probe; asset installation if supported and approved	transcript and voice state	session UUID, callback dedup, locale/permission probes	14 B07	T022/T023/S016	Runtime capability and compile-gated	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/AppleSpeechSynthesizer.swift	Voice list, playback, stop and rate controls	AVSpeechSynthesizer delegate-to-async state and interruption cleanup	transcript and voice state	session UUID, callback dedup, locale/permission probes	14 B07	T022/T023/S016	Required V1 deliverable	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/VoiceLocalePolicy.swift	Choose Hindi/English locale or declare Hinglish fallback	Exact supported locale probe; ask before cloud STT disclosure	transcript and voice state	session UUID, callback dedup, locale/permission probes	14 B07	T022/T023/S016	Required V1 deliverable	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Voice	V1	Voice/AudioInterruptionHandler.swift	React to route changes, phone calls and app lifecycle	Pause/resume only with user intent; release AVAudioSession correctly	transcript and voice state	session UUID, callback dedup, locale/permission probes	14 B07	T022/T023/S016	Required V1 deliverable	Authorized/denied locale, stale partial transcript, mid-speech interruption and cleanup.
Avatar	V1	Avatar/AvatarState.swift	Canonical idle/listening/thinking/speaking/working/error model	Exhaustive finite-state transition mapping	avatar resource and observable animation state	state based on actual voice/task event, accessibility fallback	12 §product; 14 B07	T002/S018	Required V1 deliverable	Switch/rename both avatars persists; no state animation claims an action before service reports it.
Avatar	V1	Avatar/AvatarStateController.swift	Map orchestrator/voice/task events to visible animation state	MainActor state projection; stale-event sequence suppression	avatar resource and observable animation state	state based on actual voice/task event, accessibility fallback	12 §product; 14 B07	T002/S018	Required V1 deliverable	Switch/rename both avatars persists; no state animation claims an action before service reports it.
Avatar	V1	Avatar/AvatarView.swift	Display male/female image/animation and accessible alternative	Lightweight SwiftUI animation honoring Reduce Motion	avatar resource and observable animation state	state based on actual voice/task event, accessibility fallback	12 §product; 14 B07	T002/S018	Required V1 deliverable	Switch/rename both avatars persists; no state animation claims an action before service reports it.
Avatar	V1	Avatar/AvatarAssetCatalog.swift	Resolve installed built-in and user-selected avatar assets	Stable asset ID fallback; don't couple avatar gender with voice gender	avatar resource and observable animation state	state based on actual voice/task event, accessibility fallback	14 B01	T002/S018	Required V1 deliverable	Switch/rename both avatars persists; no state animation claims an action before service reports it.
Avatar	V1	Avatar/AvatarPickerView.swift	Preview, switch and assign avatar independently of assistant name	Persist selection atomically to active owner's assistant profile	avatar resource and observable animation state	state based on actual voice/task event, accessibility fallback	12 §product; 14 B07	T002/S018	Required V1 deliverable	Switch/rename both avatars persists; no state animation claims an action before service reports it.
TaskEngine	V1	Tasks/TaskStateMachine.swift	Single canonical set of transitions for tasks and runs	Validate queued→running→waiting/completed/failed/cancelled; reject impossible moves	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskScheduler.swift	Resolve one-shot and recurring next occurrences	Calendar+timezone components and unique occurrence key; DST tests	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskEngineActor.swift	Create runs, queue, resume, cancel and finalize	Actor serialization, run budget and interruption recovery	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskPlanner.swift	Convert approved user intent into typed bounded task plan	Dependency DAG validation, cycle detection and step budget	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskRunExecutor.swift	Execute authorized task steps and report progress	Topological ready-step selection; checkpoint before side effects	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskRecovery.swift	Reconcile persisted interrupted work at cold start	Check receipts and idempotency; ambiguous writes require review	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/LocalReminderScheduler.swift	Map reminder definitions to UserNotifications requests	Persist notification ID; reconcile add/update/cancel; authorization state	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/ForegroundExecutor.swift	Run in-app AI jobs without background promises	Bounded child tasks, cancellation and progress event stream	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskProgress.swift	Compute meaningful percentage/status for UI	Completed weighted steps / planned work, unknown if work size unknowable	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskRecurrence.swift	Parse/edit daily/weekly/monthly and custom calendar recurrences	Wall-clock semantics, timezone changes and missed-run policy	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	V1	Tasks/TaskIdempotency.swift	Reserve occurrence/tool keys and dedupe retries	Persistent unique operation key and compare-and-set status	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Required V1 deliverable	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	NEXT	Tasks/RemoteTaskScheduler.swift	Future backend execution for guaranteed schedules	Authenticated enqueue/receipt/poll/webhook contract, no local fake guarantee	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Do not ship as active V1 code	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
TaskEngine	COND	Tasks/ContinuedBackgroundExecutor.swift	Optional user-initiated BGContinuedProcessingTask support	Platform availability check; Progress updates and early termination handling	TaskDefinition/TaskRun/notification state	DST-safe occurrence uniqueness, interruption recovery	14 B06	T011/T015/T016/S008/S009/S010	Runtime capability and compile-gated	DST fixture, canceled run, crash after PREPARED, duplicate occurrence and denied notification.
Tools	V1	Tools/ToolRegistry.swift	Catalog approved typed tools and their capability requirements	Immutable name/version dispatch, deny unknown/disabled tools	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B05; 15 §§3–4	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/ToolInvocationCoordinator.swift	Authorize, reserve, execute and record tool calls	Prepare→policy→approval→execute→receipt durable workflow	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B05; 15 §§3–4	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/ToolReceiptStore.swift	Prevent duplicate side effects when a network call times out	PREPARED/CONFIRMED/AMBIGUOUS persisted idempotency state	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B05	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/CreateTaskTool.swift	AI-created local task after proper authorization	Schema decode, user review if schedule/side effects ambiguous	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B05; 15 §§3–4	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/CreateReminderTool.swift	Create/schedule local reminder notifications	Resolve natural-language date, validate timezone and confirm	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B06	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/SearchHistoryTool.swift	Provide narrowly scoped history search to model	Owner-bound safe result excerpts and sensitivity-filtered citations	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B05; 15 §§3–4	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/SaveNoteTool.swift	Persist a user-requested note/memory draft	Write policy and provenance, explicit save vs learned inference	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B05; 15 §§3–4	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/OpenURLTool.swift	Open approved safe external links via platform UI	URL scheme/host validation; no invisible cross-app automation	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B05; 15 §§3–4	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/ReadAttachmentTool.swift	Extract permitted snippets from user-selected attachment	MIME/size/owner/sensitivity guards and controlled text exposure	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B09	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/CalendarTool.swift	Optional read/create EventKit operations after capability check	Least-privilege permission, event ID receipts and explicit create confirmation	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B05; 15 §§3–4	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/ContactsLookupTool.swift	Optional narrow user-authorized contact search	No contact bulk export; minimum fields and destination preview	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B05; 15 §§3–4	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Tools	V1	Tools/ToolRiskClassifier.swift	Map tool+arguments to read/write/external-send/destructive risk	Destination-aware content scope and consent decision matrix	AuthorizedToolCall and durable receipt	exact approval hash, PREPARED-before-effect, no ambiguous replay	14 B05; 15 §§3–4	T011–T014/S003/S004	Required V1 deliverable	Prompt injection, approval edit, replay and permission-denied tests.
Media	V1	Media/AttachmentPicker.swift	SwiftUI Files and Photos selection with proper scoped URL lifecycle	fileImporter/PhotosPicker; bookmark or copy to app-private storage	validated attachment or typed rejection	signature sniffing, size cap, temp cleanup, permission/egress gate	14 B09	T019/S012	Required V1 deliverable	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/AttachmentValidator.swift	Reject unsupported types, oversized and malicious payloads	UTType+magic/size/hash validation; filename canonicalization	validated attachment or typed rejection	signature sniffing, size cap, temp cleanup, permission/egress gate	14 B09	T019/S012	Required V1 deliverable	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/AttachmentProcessor.swift	Create canonical typed input for supported model modality	Bounded text extraction, fallback unsupported-file notice	validated attachment or typed rejection	signature sniffing, size cap, temp cleanup, permission/egress gate	14 B09	T019/S012	Required V1 deliverable	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/ImageOptimizer.swift	Resize/strip unneeded metadata and make thumbnails	Pixel-count and byte budgets with aspect-preserving scale	validated attachment or typed rejection	signature sniffing, size cap, temp cleanup, permission/egress gate	14 B09	T019/S012	Required V1 deliverable	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/DocumentTextExtractor.swift	Use supported local text/PDF extraction, no silent raw upload	Page caps, Unicode normalization and page/source provenance	validated attachment or typed rejection	signature sniffing, size cap, temp cleanup, permission/egress gate	14 B09	T019/S012	Required V1 deliverable	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/VisionTextRecognizer.swift	On-device Vision OCR for selected images	Bounding box/text confidence; user review for low-confidence OCR	validated attachment or typed rejection	signature sniffing, size cap, temp cleanup, permission/egress gate	14 B09	T019/S012	Required V1 deliverable	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Media	V1	Media/AttachmentLifecycle.swift	Delete temp files and revoke sandbox security scopes	TTL, reference counts, temp-file cleanup on crash recovery	validated attachment or typed rejection	signature sniffing, size cap, temp cleanup, permission/egress gate	14 B09	T019/S012	Required V1 deliverable	Spoofed MIME, overlimit, invalid bookmark, cancelled OCR and cleanup on delete.
Search	V1	Search/HistorySearchCoordinator.swift	Unified conversations/tasks/actions/memory search	Owner-scope first; optional derived Spotlight rank blend	owner-scoped paginated hits	lexical guaranteed, optional index revalidated, delete purge	14 B08	T017/T018	Required V1 deliverable	Owner leakage impossible, stale index treated as miss, delete purge and deterministic scores.
Search	V1	Search/LocalTextIndex.swift	Portable deterministic local keyword search fallback	Case/diacritic folding, bounded token matching, stable pagination	owner-scoped paginated hits	lexical guaranteed, optional index revalidated, delete purge	14 B08	T017/T018	Required V1 deliverable	Owner leakage impossible, stale index treated as miss, delete purge and deterministic scores.
Search	COND	Search/SpotlightProjection.swift	Private optional Core Spotlight entries for allowed snippets	Opt-in indexed-only fields, differential upsert and account purge	owner-scoped paginated hits	lexical guaranteed, optional index revalidated, delete purge	14 B08	T017/T018	Runtime capability and compile-gated	Owner leakage impossible, stale index treated as miss, delete purge and deterministic scores.
Search	V1	Search/SearchRanking.swift	Rank exact phrase, field match, recency and optional semantic hits	Transparent deterministic tie-breaks and per-type pagination	owner-scoped paginated hits	lexical guaranteed, optional index revalidated, delete purge	14 B08	T017/T018	Required V1 deliverable	Owner leakage impossible, stale index treated as miss, delete purge and deterministic scores.
Search	V1	Search/IndexMaintenance.swift	Keep derived indexes consistent with canonical SwiftData	Outbox update, deletion tombstones, cold-start reconciliation	owner-scoped paginated hits	lexical guaranteed, optional index revalidated, delete purge	14 B08	T017/T018	Required V1 deliverable	Owner leakage impossible, stale index treated as miss, delete purge and deterministic scores.
DashboardUI	V1	Features/Dashboard/DashboardView.swift	Primary avatar, composer, quick actions, today and status dashboard	Adaptive VStack/grid composition with accessibility reading order	real navigation or domain command	accessible states, current assistant & privacy status	12 §product; 13 W03/W04	T026/T027	Required V1 deliverable	Both assistant modes, offline status and genuine task counters on compact/regular device.
DashboardUI	V1	Features/Dashboard/DashboardViewModel.swift	Owner-scoped summary projections and primary actions	Combine async repo snapshots, no duplicate task or AI requests	real navigation or domain command	accessible states, current assistant & privacy status	12 §product; 13 W03/W04	T026/T027	Required V1 deliverable	Both assistant modes, offline status and genuine task counters on compact/regular device.
DashboardUI	V1	Features/Dashboard/TodayTaskCard.swift	Count and preview pending/completed user tasks	Calendar day boundaries in user timezone and accessible progress	real navigation or domain command	accessible states, current assistant & privacy status	12 §product; 13 W03/W04	T026/T027	Required V1 deliverable	Both assistant modes, offline status and genuine task counters on compact/regular device.
DashboardUI	V1	Features/Dashboard/QuickActionGrid.swift	Editable compact actions and route dispatch	Stable action IDs, owner-specific ordering and enabled-state checks	real navigation or domain command	accessible states, current assistant & privacy status	12 §product; 13 W03/W04	T026/T027	Required V1 deliverable	Both assistant modes, offline status and genuine task counters on compact/regular device.
DashboardUI	V1	Features/Dashboard/AttentionSummary.swift	High-priority actionable approvals/failures preview	Sort unresolved severity/age with explicit acknowledge flow	real navigation or domain command	accessible states, current assistant & privacy status	12 §product; 13 W03/W04	T026/T027	Required V1 deliverable	Both assistant modes, offline status and genuine task counters on compact/regular device.
DashboardUI	V1	Features/Dashboard/AssistantHeader.swift	Current assistant name, avatar and operating mode	Derive status from session not guessed provider readiness	real navigation or domain command	accessible states, current assistant & privacy status	12 §product; 13 W03/W04	T026/T027	Required V1 deliverable	Both assistant modes, offline status and genuine task counters on compact/regular device.
ChatUI	V1	Features/Chat/ChatView.swift	Conversation transcript and composer, streaming text and file actions	Virtualized LazyVStack, stable message IDs and scroll intent handling	events/actions with cancel + error presentation	partial/error states, no direct provider call in View	14 B02/B03	T005/T010/S001	Required V1 deliverable	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/ChatViewModel.swift	Turn submission, streaming buffer, voice and cancel UI	MainActor reducer of normalized events; avoid UI update each byte	events/actions with cancel + error presentation	partial/error states, no direct provider call in View	14 B02/B03	T005/T010/S001	Required V1 deliverable	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/ChatComposer.swift	Text, voice, image, document and send controls	Disable sending empty or unsafe payload, attachment readiness state	events/actions with cancel + error presentation	partial/error states, no direct provider call in View	14 B02/B03	T005/T010/S001	Required V1 deliverable	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/MessageBubble.swift	Accessible distinct user/assistant/tool messages	Role-based rendering, timestamps and provenance/status marker	events/actions with cancel + error presentation	partial/error states, no direct provider call in View	14 B02/B03	T005/T010/S001	Required V1 deliverable	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/ConversationListView.swift	Create, search, pin, archive and resume conversations	Paginated owner-scoped query and last activity ordering	events/actions with cancel + error presentation	partial/error states, no direct provider call in View	14 B02/B03	T005/T010/S001	Required V1 deliverable	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/ChatAttachmentStrip.swift	File previews, privacy destination and remove-before-send	Bounded thumbnail rendering and metadata-only previews	events/actions with cancel + error presentation	partial/error states, no direct provider call in View	14 B09	T005/T010/S001	Required V1 deliverable	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/ToolActionCard.swift	Review proposed tool actions and precise execution receipt	Typed fields, confirmation button and expired-action disable	events/actions with cancel + error presentation	partial/error states, no direct provider call in View	14 B02/B03	T005/T010/S001	Required V1 deliverable	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
ChatUI	V1	Features/Chat/StreamingStatusView.swift	Present text-stream, reasoning summary, rate limit and retry states	State-driven visibility; distinguish error/partial/finished	events/actions with cancel + error presentation	partial/error states, no direct provider call in View	14 B02	T005/T010/S001	Required V1 deliverable	Real provider stream, cancel, stale-conversation response suppression and VoiceOver.
TasksUI	V1	Features/Tasks/TaskDashboardView.swift	Filter today/upcoming/running/completed/failed and approvals	Responsive list and detail split; segmented status projections	validated TaskDefinition edits, TaskRun commands	never equate alert sent with AI work done	14 B06	T015/T016/S010	Required V1 deliverable	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/TaskDashboardViewModel.swift	Task state aggregation and safe action handlers	Owner-scoped query, stable sorting, cancellation and dedupe	validated TaskDefinition edits, TaskRun commands	never equate alert sent with AI work done	14 B06	T015/T016/S010	Required V1 deliverable	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/TaskEditorView.swift	Create/edit title, action, priority, trigger, recurrence and consent	Form validation and next-fire preview before save	validated TaskDefinition edits, TaskRun commands	never equate alert sent with AI work done	14 B06	T015/T016/S010	Required V1 deliverable	Recurring task creates separate runs and accurate next date; no fake progress.
TasksUI	V1	Features/Tasks/TaskDetailView.swift	Task definition, each run timeline, logs and artifacts	Immutable audit event chronology and reversible available actions	validated TaskDefinition edits, TaskRun commands	never equate alert sent with AI work done	14 B06	T015/T016/S010	Required V1 deliverable	Recurring task creates separate runs and accurate next date; no fake progress.
